Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,16 GB,DDR4,Gümüş,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-15-fa1019nt-7n9u7ea-13-nesil-intel-i7-13700h-16gb-ram-1tb-ssd-6gb-rtx4050-15-6-fhd-144hz-p-661490286,"38.599,99 TL"
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.6,,,IPS,16 GB,DDR4,Siyah,500 GB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v16-8-intel-core-i7-11800h-16-gb-ram-500-gb-ssd-4-gb-gtx-1650-freedos-15-6-fhd-144-hz-p-748917445,24.999 TL
128 GB,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.5,,,IPS,16 GB,DDR4,Siyah,512 GB,Gen 3,,,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//msi/katana-gf66-11ue-1019xtr-i5-11400h-16gb-ddr4-rtx3060-gddr6-6gb-512gb-ssd-15-6-fhd-144hz-dos-p-767932529,28.949 TL
,USB - Bluetooth - HDMI,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,Full HD,32 GB,DDR4,Gri,500 GB,,,,1920 x 1080,Full HD (FHD),1155G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-1155-dv00x-g-f-intel-core-i5-1155g7-32-gb-ram-500gb-nvme-ssd-gen4-freedos-p-761306309?advertItems=eyJhZHZlcnRJZCI6IjNiY2ZhOGZjLWQwOTUtNDE0ZS1hMjc2LWFmODBmNWFkNTdlOCIsInNvcnRpbmdTY29yZSI6MC4wNzA0Mzg1ODg5MDIzNTQyNiwiYWRTY29yZSI6MC4wNDk2Mzk1OTc1MzUxMzMzNiwiYWRTY29yZXMiOnsiMSI6MC4wNDk2Mzk1OTc1MzUxMzMzNiwiMiI6MC4wNDk2Mzk1OTc1MzUxMzMzNn0sImNwYyI6MS40MTkwMDAwMDAwMDAwMDAzLCJtaW5DcGMiOjAuMDEsImVDcGMiOjAuMDEsImFkdmVydFNsb3QiOjEsIm9yZGVyIjozLCJhdHRyaWJ1dGVzIjoiIn0=,14.799 TL
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,12,Free Dos,,https://www.trendyol.com//acer/nitro5-intel-core-i5-12500h-16gb-512gb-ssd-6gb-rtx4050-dos-15-6-gaming-laptop-acer-turkiye-garanti-p-741177835,26.999 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.4,,Yok,IPS,32 GB,DDR4,Siyah,1 TB,,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1245-dfj0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-445708761,25.899 TL
,Bluetooth,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,Full HD,,Resmi Distribütör Garantili,Full HD,,,Yok,Numerik Tuşlu Aydınlatmalı,Oyun,,,Yok,VA,16 GB,,,500 GB,,,,1920 x 1080,Full HD (FHD),11800H,,Intel Core i7,,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v13-3-3-intel-core-i7-11800h-16gb-500gb-ssd-rtx3050ti-freedos-17-3-fhd-p-133966693,27.899 TL
,USB,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//msi/thin-gf63-12ucx-427xtr-i5-12450h-8gb-ddr4-rtx2050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-708198686,21.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.6,,,IPS,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.3,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-3-4-intel-core-i7-11800h-32gb-ram-1-tb-ssd-rtx-3050-ti-freedos-15-6-inc-fhd-144-hz-p-674248329,28.699 TL
,Bluetooth,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v13-3-4-intel-core-i7-11800h-32gb-1-tb-ssd-rtx3050ti-freedos-17-3-fhd-p-738620917,29.999 TL
